LM,Subject,Title,Weight,Class,Reading,Notes,QBank
1,Quantitative Methods,Multiple Regression,5-10%,Done,,Done,
2,Quantitative Methods,Time-Series Analysis,5-10%,,,,
3,Quantitative Methods,Machine Learning,5-10%,,,,
4,Quantitative Methods,Big Data Projects,5-10%,,,,
5,Economics,Currency Exchange Rates: Understanding Equilibrium Value,5-10%,Done,Done,Done,
6,Economics,Economic Growth,5-10%,Done,Done,Done,
7,Financial Statement Analysis,Intercorporate Investments,10-15%,,,,
8,Financial Statement Analysis,Employee Compensation: Post Employment and Share-based,10-15%,,,,
9,Financial Statement Analysis,Multinational Operations,10-15%,,,,
10,Financial Statement Analysis,Analysis of Financial Institutions,10-15%,,,,
11,Financial Statement Analysis,Evaluating Quality of Financial Reports,10-15%,,,,
12,Financial Statement Analysis,Integration of Financial Statement Analysis Techniques,10-15%,,,,
13,Corporate Issuers,Analysis of Dividends and Share Repurchases,5-10%,Done,Done,Done,Done
14,Corporate Issuers,ESG Considerations in Investment Analysis,5-10%,Done,Done,Done,
15,Corporate Issuers,Cost of Capital: Advanced Topics,5-10%,Done,Done,Done,
16,Corporate Issuers,Corporate Restructuring,5-10%,Done,Done,Done,Done
17,Equity Investments,Equity Valuation: Applications and Processes,10-15%,Done,Done,Done,Done
18,Equity Investments,Discounted Dividend Valuation,10-15%,Done,Done,Done,
19,Equity Investments,Free Cash Flow Valuation,10-15%,,,,
20,Equity Investments,Market-Based Valuation: Price and Enterprise Value Multiples,10-15%,,,,
21,Equity Investments,Residual Income Valuation,10-15%,,,,
22,Equity Investments,Private Company Valuation,10-15%,,,,
23,Fixed Income,The Term Structure and Interest Rate Dynamics,10-15%,,,,
24,Fixed Income,The Arbitrage-Free Valuation Framework,10-15%,,,,
25,Fixed Income,Valuation and Analysis of Bonds with Embedded Options,10-15%,,,,
26,Fixed Income,Credit Analysis Models,10-15%,,,,
27,Fixed Income,Credit Default Swaps,10-15%,,,,
28,Derivatives,Pricing and Valuation of Forward Commitments,5-10%,,,,
29,Derivatives,Valuation of Contingent Claims,5-10%,,,,
30,Alternative Investments,Introduction to Commodities and Commodity Derivatives,5-10%,Done,Done,Done,Done
31,Alternative Investments,Overview of Types of Real Estate Investment,5-10%,Done,Done,Done,Half
32,Alternative Investments,Investments in Real Estate Through Publicly Traded Securities,5-10%,Done,Done,Done,
33,Alternative Investments,Hedge Fund Strategies,5-10%,,,,
34,Portfolio Management,Economics and Investment Markets,10-15%,Done,Done,Done,
35,Portfolio Management,Analysis of Active Portfolio Management,10-15%,Done,,,
36,Portfolio Management,Exchange-Traded Funds: Mechanics and Applications,10-15%,Done,Done,Done,Done
37,Portfolio Management,Using Multifactor Models,10-15%,Done,Done,Done,
38,Portfolio Management,Measuring and Managing Market Risk,10-15%,Done,Done,Done,
39,Portfolio Management,Backtesting and Simulation,10-15%,Done,Done,Done,Done
40,Ethical and Professional Standards,Code of Ethics and Standards of Professional Conduct,10-15%,Done,,,
41,Ethical and Professional Standards,Guidance for Standards I-VII,10-15%,Done,,,
42,Ethical and Professional Standards,Application of the Code and Standards: Level II,10-15%,Done,,,
